has_remove_from_cart,is_purchase,continent,is_new_visit,isMobile,last_add_to_cart_hour,number_of_user_actions,number_of_page_views,time_on_site,has_promo,first_add_to_cart_delay,add_to_cart_count,quick_click_count,onsite_click_count,product_click_count
False,False,Americas,False,False,14,1,1,3,False,0.0,1,0,0,0
False,False,Americas,True,True,17,1,3,76,False,71.293,1,0,0,0
False,False,Asia,True,True,5,2,3,318,False,290.289,2,0,0,0
False,False,Asia,False,False,10,2,4,654,True,561.491,1,0,0,0
False,False,Americas,False,False,12,2,5,47,False,26.985,1,1,0,0
False,False,Asia,True,False,3,4,5,91,True,81.335,1,1,0,1
False,False,Americas,True,False,13,2,7,93,False,43.674,1,1,0,0
False,False,Asia,False,False,20,4,6,22,False,12.832,1,3,0,0
False,False,Asia,True,False,8,3,7,160,True,151.30100000000004,1,1,0,0
False,False,Americas,True,False,10,3,7,51,False,14.262,2,1,0,0
False,False,Americas,True,True,14,4,6,103,False,44.313,1,3,0,0
False,False,Asia,True,True,19,3,8,312,False,112.26100000000001,1,2,0,0
False,False,Asia,True,True,0,6,6,90,False,45.46,2,3,0,1
False,False,Americas,True,False,11,2,10,519,False,43.87,1,1,0,0
False,False,Asia,True,False,19,2,12,1749,False,449.01800000000003,1,0,1,0
False,True,Americas,False,False,11,3,12,236,False,33.129,1,1,0,1
True,True,Americas,False,False,15,2,13,607,False,208.582,1,0,0,0
False,False,Oceania,True,False,4,2,13,181,True,122.18299999999999,1,0,0,0
True,True,Americas,False,False,11,3,12,288,False,85.109,1,1,0,0
False,False,Americas,True,False,21,2,13,601,False,177.59599999999998,1,1,0,0
False,False,Americas,False,False,12,4,12,204,False,193.32299999999998,2,1,0,1
False,False,Europe,True,False,13,5,12,220,True,47.184,1,2,0,0
False,False,Europe,True,False,13,4,13,200,False,34.726,2,2,0,0
False,False,Americas,True,False,10,3,14,283,False,69.779,1,2,0,0
False,False,Asia,False,False,23,4,14,169,False,44.673,2,1,0,1
False,False,Americas,True,False,14,7,12,341,True,255.537,3,3,0,0
False,False,Americas,True,False,19,6,14,282,False,251.74099999999999,1,3,0,2
False,False,Americas,False,False,13,5,15,126,False,25.811999999999998,2,3,0,0
False,True,Americas,False,True,14,3,18,1013,True,40.461999999999996,1,1,0,0
False,False,Americas,False,False,22,1,21,728,False,14.626,1,0,0,0
False,True,Americas,False,False,12,4,18,553,False,68.837,2,2,0,0
True,True,Americas,False,False,14,6,17,188,False,55.973,2,3,0,0
False,True,Americas,False,False,16,3,20,559,False,24.423000000000002,2,1,0,0
False,False,Americas,True,False,12,2,22,437,False,46.426,1,1,0,0
False,False,Asia,True,False,10,5,20,699,False,223.514,1,3,0,1
False,True,Americas,False,False,14,4,21,733,False,357.98,1,3,0,0
False,False,Americas,True,True,19,6,20,263,True,258.584,1,1,0,0
True,False,Asia,True,False,7,7,21,506,False,119.958,3,1,0,1
False,True,Americas,False,True,14,6,22,914,True,93.87100000000001,1,1,0,0
False,True,Americas,True,False,16,5,24,338,False,80.42,1,4,0,0
False,True,Americas,True,False,22,4,25,973,False,60.191,2,2,0,0
False,False,Americas,True,False,11,4,26,940,True,936.15,1,2,0,0
True,False,Asia,False,False,22,7,23,555,False,210.067,2,3,0,1
False,True,Americas,True,True,6,8,23,1160,True,123.384,2,2,0,1
False,False,Europe,True,False,2,4,27,475,False,54.585,2,2,0,0
False,False,Americas,False,False,18,6,25,446,False,280.124,1,5,0,0
False,False,Asia,True,False,22,6,26,950,True,945.301,1,3,0,1
False,False,Americas,True,False,1,7,26,797,False,124.802,3,3,0,1
False,False,Europe,True,False,5,6,32,855,True,762.7769999999997,1,3,0,0
True,False,Americas,False,False,9,9,29,1799,False,348.921,2,4,0,1
False,False,Americas,False,True,13,8,30,2029,True,1390.336,1,3,0,0
False,True,Americas,False,False,20,10,28,530,True,60.538000000000004,4,3,0,0
False,False,Americas,True,False,1,8,32,1320,True,495.92800000000005,2,3,0,2
False,False,Americas,True,True,19,12,28,438,True,108.44,4,7,0,0
False,False,Americas,True,False,18,15,28,472,True,231.054,3,6,0,5
True,True,Americas,False,False,14,7,36,466,False,117.611,3,3,0,0
True,False,Americas,True,False,9,9,35,809,False,62.65600000000001,2,4,0,2
True,True,Americas,False,False,17,11,33,1340,False,637.279,3,7,0,0
False,True,Americas,False,False,6,8,37,758,False,74.773,4,4,0,0
False,True,Americas,True,False,15,12,33,634,False,261.457,4,8,0,0
False,False,Americas,True,True,16,25,23,656,False,653.299,1,1,0,0
True,False,Americas,False,False,14,17,33,2599,False,1473.533,6,6,0,0
False,True,Americas,True,False,5,14,37,864,True,90.36399999999999,5,6,0,2
False,True,Americas,True,False,20,9,42,1131,False,39.426,3,5,0,1
True,False,Americas,True,False,17,16,35,831,False,357.315,3,12,0,0
True,True,Americas,False,False,19,13,40,1724,False,25.866,5,5,0,1
False,False,Americas,False,False,14,21,39,2623,False,536.557,1,12,0,8
True,True,Americas,True,False,12,14,48,838,False,114.979,6,6,0,1
True,False,Americas,True,False,16,14,49,1151,False,760.075,4,9,0,0
False,False,Europe,True,False,5,13,57,1582,True,182.27,4,7,0,1
True,False,Americas,False,False,22,22,49,1409,False,8.752,5,8,0,5
True,True,Americas,False,False,17,34,72,3821,False,384.337,7,16,0,5
False,False,Americas,True,False,19,38,99,3899,True,2591.957000000001,3,27,0,7
False,True,Americas,True,False,10,55,115,1772,False,166.00099999999995,17,38,0,0
False,False,Americas,True,False,10,4,3,262,True,216.408,3,0,0,0
False,False,Asia,False,False,12,5,8,126,False,107.005,2,2,0,1
False,False,Asia,True,False,0,3,10,334,True,293.842,1,1,0,0
False,False,Americas,True,False,6,4,12,169,False,117.43799999999999,2,2,0,0
False,False,Americas,True,False,18,4,13,271,True,54.522,1,1,0,0
False,False,Americas,True,True,19,6,27,759,True,352.162,2,2,1,0
False,False,Americas,True,True,0,12,43,1766,False,1042.49,4,7,0,1
False,False,Americas,True,True,12,25,64,1902,True,1029.914,1,17,0,4
False,False,Europe,True,True,0,1,1,3,False,3.002,1,0,0,0
False,False,Americas,True,False,8,2,3,36,False,16.000999999999998,2,0,0,0
False,False,Americas,True,False,16,2,3,75,False,75.093,1,1,0,0
False,False,Europe,True,True,0,2,3,39,False,25.255,1,1,0,0
False,False,Americas,False,False,14,1,4,130,False,88.133,1,0,0,0
False,False,Asia,False,False,5,2,3,45,False,18.628,1,1,0,0
False,False,Americas,True,False,12,1,5,269,False,269.093,1,0,0,0
False,False,Europe,True,False,2,1,5,109,False,109.384,1,0,0,0
False,False,Asia,True,True,5,5,1,68,False,15.872,5,0,0,0
False,False,Americas,True,True,14,2,4,526,False,126.421,1,1,0,0
